store_name,street,city,state,zip_code,phone,store_url
Los Altos (127),2310 Homestead Rd,Los Altos,CA,94024,408-245-1917,https://locations.traderjoes.com/ca/los-altos/127/
Hollywood (206),1600 N Vine St,Los Angeles,CA,90028,323-856-0689,https://locations.traderjoes.com/ca/los-angeles/206/
Los Angeles (31),263 S La Brea Ave,Los Angeles,CA,90036,323-965-1989,https://locations.traderjoes.com/ca/los-angeles/31/
Los Angeles - 3rd & Fairfax (240),175 South Fairfax Ave,Los Angeles,CA,90036,323-931-4012,https://locations.traderjoes.com/ca/los-angeles/240/
Los Angeles - Burton Way (237),8500 Burton Way,Los Angeles,CA,90048,310-248-2984,https://locations.traderjoes.com/ca/los-angeles/237/
Olympic Blvd (215),11755 Olympic Blvd,Los Angeles,CA,90064,310-477-5949,https://locations.traderjoes.com/ca/los-angeles/215/
Silver Lake (17),2738 Hyperion Ave,Los Angeles,CA,90027,323-665-6774,https://locations.traderjoes.com/ca/los-angeles/17/
Sunset Blvd (192),8000 W Sunset Blvd,Los Angeles,CA,90046,323-822-7663,https://locations.traderjoes.com/ca/los-angeles/192/
USC Village (250),"3131 S Hoover Street, Suite 1920",Los Angeles,CA,90089,213-749-1497,https://locations.traderjoes.com/ca/los-angeles/250/
West Los Angeles (7),10850 National Blvd,Los Angeles,CA,90064,310-470-1917,https://locations.traderjoes.com/ca/los-angeles/7/
West Los Angeles - Sepulveda (119),3456 S Sepulveda Blvd,Los Angeles,CA,90034,310-836-2458,https://locations.traderjoes.com/ca/los-angeles/119/
Westwood (234),1000 Glendon Ave,Los Angeles,CA,90024,310-824-1495,https://locations.traderjoes.com/ca/los-angeles/234/
Los Gatos (181),15466 Los Gatos Blvd,Los Gatos,CA,95032,408-356-2324,https://locations.traderjoes.com/ca/los-gatos/181/
Manhattan Beach - Rosecrans Blvd (106),1800 Rosecrans Blvd,Manhattan Beach,CA,90266,310-725-9800,https://locations.traderjoes.com/ca/manhattan-beach/106/
Manhattan Beach Blvd (34),1821 Manhattan Beach Blvd,Manhattan Beach,CA,90266,310-372-1274,https://locations.traderjoes.com/ca/manhattan-beach/34/
Marina (261),150 10th St,Marina,CA,93933,831-281-7247,https://locations.traderjoes.com/ca/marina/261/
Marina Del Rey (205),4675 Admiralty Way,Marina Del Rey,CA,90292,310-301-4461,https://locations.traderjoes.com/ca/marina-del-rey/205/
Menlo Park (69),720 Menlo Ave,Menlo Park,CA,94025,650-323-2134,https://locations.traderjoes.com/ca/menlo-park/69/
Millbrae (170),765 Broadway,Millbrae,CA,94030,650-259-9142,https://locations.traderjoes.com/ca/millbrae/170/
Milpitas (229),1306 Great Mall Pkwy,Milpitas,CA,95035,408-942-6957,https://locations.traderjoes.com/ca/milpitas/229/
Mission Viejo (126),25410 Marguerite Pkwy,Mission Viejo,CA,92692,949-581-5638,https://locations.traderjoes.com/ca/mission-viejo/126/
Modesto (9),3250 Dale Road,Modesto,CA,95356,209-491-0445,https://locations.traderjoes.com/ca/modesto/9/
Monrovia (112),604 W Huntington Dr,Monrovia,CA,91016,626-358-8884,https://locations.traderjoes.com/ca/monrovia/112/
Monterey (204),"570 Munras Ave, Ste 20",Monterey,CA,93940,831-372-2010,https://locations.traderjoes.com/ca/monterey/204/
Montrose (52),2462 Honolulu Ave,Montrose,CA,91020,818-957-3613,https://locations.traderjoes.com/ca/montrose/52/
Morgan Hill (202),17035 Laurel Rd,Morgan Hill,CA,95037,408-778-6409,https://locations.traderjoes.com/ca/morgan-hill/202/
Mountain View (81),590 Showers Dr,Mountain View,CA,94040,650-917-1013,https://locations.traderjoes.com/ca/mountain-view/81/
Murrieta (258),40388 Murrieta Hot Springs Rd,Murrieta,CA,92563,951-528-5115,https://locations.traderjoes.com/ca/murrieta/258/
Napa (128),3654 Bel Aire Plaza,Napa,CA,94558,707-256-0806,https://locations.traderjoes.com/ca/napa/128/
Newport Beach (125),8086 E Pacific Coast Hwy,Newport Beach,CA,92657,949-494-7404,https://locations.traderjoes.com/ca/newport-beach/125/
North Hollywood (252),"6130 Laurel Canyon Bl, Suite 100",North Hollywood,CA,91606,818-762-2963,https://locations.traderjoes.com/ca/north-hollywood/252/
Northridge (312),9224 Reseda Blvd,Northridge,CA,91325,747-245-4766,https://locations.traderjoes.com/ca/northridge/312/
Novato (198),7514 Redwood Blvd,Novato,CA,94945,415-898-9359,https://locations.traderjoes.com/ca/novato/198/
Oakland - Lakeshore (203),3250 Lakeshore Ave,Oakland,CA,94610,510-238-9076,https://locations.traderjoes.com/ca/oakland/203/
Oakland - Rockridge (231),5727 College Ave,Oakland,CA,94618,510-923-9428,https://locations.traderjoes.com/ca/oakland/231/
Oceanside (22),2570 Vista Way,Oceanside,CA,92054,760-433-9994,https://locations.traderjoes.com/ca/oceanside/22/
Mall of Orange (46),2114 N Tustin St,Orange,CA,92865,714-283-5697,https://locations.traderjoes.com/ca/orange/46/
Pacific Grove (79),1170 Forest Ave,Pacific Grove,CA,93950,831-656-0180,https://locations.traderjoes.com/ca/pacific-grove/79/
Palm Desert (3),44250 Town Center Way,Palm Desert,CA,92260,760-340-2291,https://locations.traderjoes.com/ca/palm-desert/3/
Palmdale (185),39507 10th St W,Palmdale,CA,93551,661-947-2890,https://locations.traderjoes.com/ca/palmdale/185/
Palo Alto (207),855 El Camino Real,Palo Alto,CA,94301,650-327-7018,https://locations.traderjoes.com/ca/palo-alto/207/
Hastings Ranch (171),467 N Rosemead Blvd,Pasadena,CA,91107,626-351-3399,https://locations.traderjoes.com/ca/pasadena/171/
Pasadena (51),610 S Arroyo Pkwy,Pasadena,CA,91105,626-568-9254,https://locations.traderjoes.com/ca/pasadena/51/
Pasadena (East) (32),3035 E Huntington Dr,Pasadena,CA,91107,626-356-2963,https://locations.traderjoes.com/ca/pasadena/32/
Pasadena - S Lake Ave (179),345 S Lake Ave,Pasadena,CA,91101,626-395-9553,https://locations.traderjoes.com/ca/pasadena/179/
Petaluma (107),169 N McDowell Blvd,Petaluma,CA,94954,707-769-2782,https://locations.traderjoes.com/ca/petaluma/107/
Pinole (230),2742 Pinole Valley Rd,Pinole,CA,94564,510-222-3501,https://locations.traderjoes.com/ca/pinole/230/
Pleasanton (66),3903 Santa Rita Road,Pleasanton,CA,94588,925-468-0763,https://locations.traderjoes.com/ca/pleasanton/66/
Poway (265),13644 Poway Rd,Poway,CA,92064,858-294-6131,https://locations.traderjoes.com/ca/poway/265/
Rancho Cucamonga (217),6401 Haven Ave,Rancho Cucamonga,CA,91737,909-476-1410,https://locations.traderjoes.com/ca/rancho-cucamonga/217/
Rancho Palos Verdes (233),31176 Hawthorne Blvd,Rancho Palos Verdes,CA,90275,310-544-1727,https://locations.traderjoes.com/ca/rancho-palos-verdes/233/
Rancho Palos Verdes - S. Western Ave. (57),28901 S Western Ave,Rancho Palos Verdes,CA,90275,310-832-1241,https://locations.traderjoes.com/ca/rancho-palos-verdes/57/
Rancho Santa Margarita (27),30652 Santa Margarita Pkwy,Rancho Santa Margarita,CA,92688,949-888-3640,https://locations.traderjoes.com/ca/rancho-santa-margarita/27/
Redding (219),845 Browning St,Redding,CA,96003,530-223-4875,https://locations.traderjoes.com/ca/redding/219/
Redlands (99),552 Orange St,Redlands,CA,92374,909-798-3888,https://locations.traderjoes.com/ca/redlands/99/
Redondo Beach (38),1761 S Elena Ave,Redondo Bch.,CA,90277,310-316-1745,https://locations.traderjoes.com/ca/redondo-bch-/38/
Riverside (15),6225 Riverside Plaza,Riverside,CA,92506,951-781-2378,https://locations.traderjoes.com/ca/riverside/15/
Rocklin (228),"5116 Commons Dr., #103",Rocklin,CA,95677,916-660-9820,https://locations.traderjoes.com/ca/rocklin/228/
Roseville (80),1117 Roseville Square,Roseville,CA,95678,916-784-9084,https://locations.traderjoes.com/ca/roseville/80/
Roseville - North (266),10261 Fairway Dr,Roseville,CA,95678,279-217-4579,https://locations.traderjoes.com/ca/roseville/266/
South Pasadena (18),613 Mission St,S. Pasadena,CA,91030,626-441-6263,https://locations.traderjoes.com/ca/s-pasadena/18/
Sacramento (175),5000 Folsom Blvd,Sacramento,CA,95819,916-456-1853,https://locations.traderjoes.com/ca/sacramento/175/
Sacramento (70),2625 Marconi Ave,Sacramento,CA,95821,916-481-8797,https://locations.traderjoes.com/ca/sacramento/70/
San Carlos (174),1482 El Camino Real,San Carlos,CA,94070,650-594-2138,https://locations.traderjoes.com/ca/san-carlos/174/
San Clemente (16),638 Camino de Los Mares,San Clemente,CA,92673,949-240-9996,https://locations.traderjoes.com/ca/san-clemente/16/
Del Mar (223 ),13480 Highlands Place,San Diego,CA,92130,858-755-7130,https://locations.traderjoes.com/ca/san-diego/223/
Mission Valley (222),1072 Camino Del Rio North,San Diego,CA,92108,619-297-0749,https://locations.traderjoes.com/ca/san-diego/222/
San Diego - Carmel Mtn Ranch (23),11955 Carmel Mountain Rd,San Diego,CA,92128,858-673-0526,https://locations.traderjoes.com/ca/san-diego/23/
San Diego - Hillcrest (26),"1090 University Avenue, Ste G100-107",San Diego,CA,92103,619-296-3122,https://locations.traderjoes.com/ca/san-diego/26/
San Diego - Pacific Beach (21),1640 Garnet Ave,San Diego,CA,92109,858-581-9101,https://locations.traderjoes.com/ca/san-diego/21/
San Diego - Point Loma (188),2401 Truxtun Rd,San Diego,CA,92106,619-758-9272,https://locations.traderjoes.com/ca/san-diego/188/
San Diego - SDSU (224),"5140 College Ave, Ste 119",San Diego,CA,92115,619-229-9092,https://locations.traderjoes.com/ca/san-diego/224/
Scripps Ranch (221),9850 Hibert St,San Diego,CA,92131,858-549-9185,https://locations.traderjoes.com/ca/san-diego/221/
San Dimas (28),856 W Arrow Hwy,San Dimas,CA,91773,909-305-4757,https://locations.traderjoes.com/ca/san-dimas/28/
San Francisco (100),3 Masonic Ave,San Francisco,CA,94118,415-346-9964,https://locations.traderjoes.com/ca/san-francisco/100/
San Francisco (Hayes Valley) (226),788 Laguna St,San Francisco,CA,94102,415-718-0175,https://locations.traderjoes.com/ca/san-francisco/226/
San Francisco - 9th St (78),555 9th St,San Francisco,CA,94103,415-863-1292,https://locations.traderjoes.com/ca/san-francisco/78/
San Francisco - Nob Hill (200),1095 Hyde St,San Francisco,CA,94109,415-292-7665,https://locations.traderjoes.com/ca/san-francisco/200/
San Francisco - North Beach (19),401 Bay St,San Francisco,CA,94133,415-351-1013,https://locations.traderjoes.com/ca/san-francisco/19/
San Francisco - Pacific Place (225),10 4th Street,San Francisco,CA,94103,415-536-7801,https://locations.traderjoes.com/ca/san-francisco/225/
San Francisco - Stonestown (236),265 Winston Dr,San Francisco,CA,94132,415-665-1835,https://locations.traderjoes.com/ca/san-francisco/236/
San Jose - Coleman Ave (212),635 Coleman Ave,San Jose,CA,95110,408-298-9731,https://locations.traderjoes.com/ca/san-jose/212/
San Jose - Cupertino (232),7250 Bollinger Rd,San Jose,CA,95129,408-873-7384,https://locations.traderjoes.com/ca/san-jose/232/
San Jose - Old Almaden (63),5353 Almaden Expressway #J-38,San Jose,CA,95118,408-264-8120,https://locations.traderjoes.com/ca/san-jose/63/
San Jose - Westgate West (62),5269 Prospect,San Jose,CA,95129,408-446-5055,https://locations.traderjoes.com/ca/san-jose/62/
San Juan Capistrano (249),32151 Camino Capistrano,San Juan Capistrano,CA,92675,949-496-4150,https://locations.traderjoes.com/ca/san-juan-capistrano/249/
San Luis Obispo (41),3977 Higuera Street,San Luis Obispo,CA,93401,805-783-2780,https://locations.traderjoes.com/ca/san-luis-obispo/41/
San Mateo - Grant St (67),,San Mateo,CA,94402,650-570-6140,https://locations.traderjoes.com/ca/san-mateo/67/
San Mateo - Hillsdale (245),45 W Hillsdale Blvd,San Mateo,CA,94403,650-286-1509,https://locations.traderjoes.com/ca/san-mateo/245/
San Rafael (61),337 3rd St,San Rafael,CA,94901,415-454-9530,https://locations.traderjoes.com/ca/san-rafael/61/
San Ramon (246),300 Market Place,San Ramon,CA,94583,925-275-8140,https://locations.traderjoes.com/ca/san-ramon/246/
Santa Ana (113),3329 S Bristol St,Santa Ana,CA,92704,714-424-9304,https://locations.traderjoes.com/ca/santa-ana/113/
Santa Barbara (183),3025 De La Vina St,Santa Barbara,CA,93105,805-563-7383,https://locations.traderjoes.com/ca/santa-barbara/183/
Santa Barbara (59),222 North Milpas Street,Santa Barbara,CA,93103,805-560-1182,https://locations.traderjoes.com/ca/santa-barbara/59/
Canyon Country (263),19037 Golden Valley Rd,Santa Clarita,CA,91387,661-276-1430,https://locations.traderjoes.com/ca/santa-clarita/263/
Valencia (13),26517 Bouquet Canyon Rd,Santa Clarita,CA,91350,661-263-3796,https://locations.traderjoes.com/ca/santa-clarita/13/
Santa Cruz (193),700 Front St,Santa Cruz,CA,95060,831-425-0140,https://locations.traderjoes.com/ca/santa-cruz/193/
Santa Maria (239),1303 S Bradley Rd,Santa Maria,CA,93454,805-925-1657,https://locations.traderjoes.com/ca/santa-maria/239/
Santa Monica (256),500 Broadway,Santa Monica,CA,90401,310-912-6877,https://locations.traderjoes.com/ca/santa-monica/256/
Santa Monica (6),3212 Pico Blvd,Santa Monica,CA,90405,310-581-0253,https://locations.traderjoes.com/ca/santa-monica/6/
Wilshire (253),"2300 Wilshire Blvd, Ste 101",Santa Monica,CA,90403,310-264-2223,https://locations.traderjoes.com/ca/santa-monica/253/
Santa Rosa - Cleveland Ave (75),3225 Cleveland Ave,Santa Rosa,CA,95403,707-525-1406,https://locations.traderjoes.com/ca/santa-rosa/75/
Santa Rosa Ave (178),2100 Santa Rosa Ave,Santa Rosa,CA,95407,707-535-0788,https://locations.traderjoes.com/ca/santa-rosa/178/
Santee (260),9680 Mission Gorge Rd,Santee,CA,92071,619-812-3705,https://locations.traderjoes.com/ca/santee/260/
Sherman Oaks (49),14119 Riverside Dr,Sherman Oaks,CA,91423,818-789-2771,https://locations.traderjoes.com/ca/sherman-oaks/49/
Sherman Oaks too (267),14140 Riverside Dr,Sherman Oaks,CA,91423,747-245-6608,https://locations.traderjoes.com/ca/sherman-oaks/267/
Simi Valley (30),,Simi Valley,CA,93065,805-520-3135,https://locations.traderjoes.com/ca/simi-valley/30/
South Pasadena (Fair Oaks) (4),1129 Fair Oaks Ave,South Pasadena,CA,91030,323-784-1840,https://locations.traderjoes.com/ca/south-pasadena/4/
South San Francisco (187),301 MC Lellan Dr,South San Francisco,CA,94080,650-583-6401,https://locations.traderjoes.com/ca/south-san-francisco/187/
Stockton (76),6535 Pacific Ave,Stockton,CA,95207,209-951-7597,https://locations.traderjoes.com/ca/stockton/76/
Studio City (122),11976 Ventura Blvd,Studio City,CA,91604,818-509-0168,https://locations.traderjoes.com/ca/studio-city/122/
Sunnyvale (68),316 West El Camino Real,Sunnyvale,CA,94087,408-736-7573,https://locations.traderjoes.com/ca/sunnyvale/68/
Tarzana (264),18700 Ventura Blvd,Tarzana,CA,91356,747-212-1646,https://locations.traderjoes.com/ca/tarzana/264/
Temecula (102),40665 Winchester Rd,Temecula,CA,92591,951-296-9964,https://locations.traderjoes.com/ca/temecula/102/
Templeton (211),1111 Rossi Road,Templeton,CA,93465,805-434-9562,https://locations.traderjoes.com/ca/templeton/211/
Newbury Park (243),125 N Reino Road,Thousand Oaks,CA,91320,805-375-1984,https://locations.traderjoes.com/ca/thousand-oaks/243/
Thousand Oaks (196),451 Avenida De Los Arboles,Thousand Oaks,CA,91360,805-492-7107,https://locations.traderjoes.com/ca/thousand-oaks/196/
Toluca Lake (54),10130 Riverside Dr,Toluca Lake,CA,91602,818-762-2787,https://locations.traderjoes.com/ca/toluca-lake/54/
Torrance - Hawthorne Blvd (121),19720 Hawthorne Blvd,Torrance,CA,90503,310-793-8585,https://locations.traderjoes.com/ca/torrance/121/
Torrance - Rolling Hills Plaza (29),2545 Pacific Coast Hwy,Torrance,CA,90505,310-326-9520,https://locations.traderjoes.com/ca/torrance/29/
Tracy (269),2530 Naglee Rd,Tracy,CA,95304,209-913-5511,https://locations.traderjoes.com/ca/tracy/269/
Tustin (197),1198 Irvine Blvd.,Tustin,CA,92780,714-505-3289,https://locations.traderjoes.com/ca/tustin/197/
Ventura (45),1795 S. Victoria Ave,Ventura,CA,93003,805-650-9977,https://locations.traderjoes.com/ca/ventura/45/
Ventura - Midtown (218),"103 S Mills Rd, Ste 104",Ventura,CA,93003,805-658-2664,https://locations.traderjoes.com/ca/ventura/218/
Vista (259),1861 University Dr,Vista,CA,92083,760-502-9816,https://locations.traderjoes.com/ca/vista/259/
Walnut Creek (123),1372 S California Blvd,Walnut Creek,CA,94596,925-945-1674,https://locations.traderjoes.com/ca/walnut-creek/123/
West Hills (50),6751 Fallbrook Ave,West Hills,CA,91307,818-347-2591,https://locations.traderjoes.com/ca/west-hills/50/
West Hollywood (173),8611 Santa Monica Blvd,West Hollywood,CA,90069,310-657-0152,https://locations.traderjoes.com/ca/west-hollywood/173/
West Hollywood (40),7310 Santa Monica Blvd,West Hollywood,CA,90046,323-969-8048,https://locations.traderjoes.com/ca/west-hollywood/40/
Westchester (33),8645 S Sepulveda,Westchester,CA,90045,310-338-9238,https://locations.traderjoes.com/ca/westchester/33/
Westlake Village (58),3835 E Thousand Oaks Blvd,Westlake Village,CA,91362,805-494-5040,https://locations.traderjoes.com/ca/westlake-village/58/
Whittier (48),15025 E Whittier Blvd,Whittier,CA,90603,562-698-1642,https://locations.traderjoes.com/ca/whittier/48/
Woodland Hills (209),21055 Ventura Blvd,Woodland Hills,CA,91364,818-712-9475,https://locations.traderjoes.com/ca/woodland-hills/209/
Yorba Linda (176),19655 Yorba Linda Blvd,Yorba Linda,CA,92886,714-970-0116,https://locations.traderjoes.com/ca/yorba-linda/176/
Yucaipa (268),31545 Yucaipa Boulevard,Yucaipa,CA,92399,909-951-6154,https://locations.traderjoes.com/ca/yucaipa/268/
